mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,22.96590805053711,36.34357452392578,3.638029098510742
mig,0.6,42.19210147857666,97.91970252990723,4.729986190795898
mps-uncap,0.7,23.042678833007812,40.73822498321533,3.5272836685180664
mig,0.7,42.24228858947754,98.22797775268555,4.715681076049805
mps-uncap,0.8,23.116707801818848,46.00203037261963,3.486156463623047
mig,0.8,42.67323017120361,98.87158870697021,4.759550094604492
mps-uncap,0.9,23.3614444732666,51.44393444061279,3.564000129699707
mig,0.9,42.88911819458008,99.68888759613037,4.807472229003906
mps-uncap,1.0,23.57196807861328,52.3076057434082,4.223227500915527
mig,1.0,43.33305358886719,100.48294067382812,4.860639572143555
mps-uncap,1.1,23.950815200805664,53.96294593811035,5.425453186035156
mig,1.1,43.309688568115234,100.51631927490234,4.872322082519531
mps-uncap,1.2,24.14095401763916,63.82143497467041,6.404876708984375
mig,1.2,43.29037666320801,100.45647621154785,4.871129989624023
mps-uncap,1.3,24.341106414794922,66.59555435180664,7.820606231689453
mig,1.3,43.32613945007324,100.60000419616699,4.871129989624023
