mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,24.013519287109375,50.29892921447754,16.458988189697266
mig,0.6,53.410887718200684,126.91724300384521,6.17825984954834
mps-uncap,0.7,24.26290512084961,53.90059947967529,42.77396202087402
mig,0.7,75.43563842773438,143.585205078125,7.639169692993164
mps-uncap,0.8,25.00307559967041,58.88819694519043,222.30172157287598
mig,0.8,90.04414081573486,198.3855962753296,9.892702102661133
mps-uncap,0.9,26.142239570617676,72.50726222991943,8525.212049484253
mig,0.9,149.87444877624512,274.35076236724854,16.237258911132812
mps-uncap,1.0,27.80461311340332,94.31087970733643,18896.30150794983
mig,1.0,1210.3140354156494,919.5468425750732,378.39293479919434
mps-uncap,1.1,30.762314796447754,132.12037086486816,23300.97270011902
mig,1.1,3747.5428581237793,7066.564321517944,3976.493716239929
mps-uncap,1.2,40.079474449157715,366.1407232284546,28693.758487701416
mig,1.2,6616.015911102295,5044.553518295288,7048.156976699829
mps-uncap,1.3,45.5317497253418,1166.2414073944092,32572.45182991028
mig,1.3,9987.327933311462,11770.35140991211,10166.877746582031
