mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,459.0359728930738,98.1361497617105,477.3528160036529
mig,0.6,430.27676400290204,87.68076798473201,478.44189019244754
mps-uncap,0.7,524.1108368608482,113.93144155664135,554.6118736653868
mig,0.7,512.0581775183472,106.16635772865402,560.8388344440864
mps-uncap,0.8,560.9998742918422,119.85504532637772,622.7018009825186
mig,0.8,564.4461550923847,124.06998555773534,633.7626146996283
mps-uncap,0.9,638.2172980813958,132.19914618708287,574.9701418936481
mig,0.9,646.4548797514376,132.30293664011566,719.6983415144524
mps-uncap,1.0,706.4799113258109,160.42346345555208,487.8670091077061
mig,1.0,723.6898845641656,150.52700640880533,801.3019955401268
mps-uncap,1.1,781.6243859244187,174.47720278795376,412.41401634742044
mig,1.1,727.7060995729236,158.75245125213422,803.922912711112
mps-uncap,1.2,898.4592136111679,190.29925269627782,304.29604751054285
mig,1.2,732.0461475715696,158.6028178184406,805.6923117710743
mps-uncap,1.3,933.3943108519982,202.0353991737629,267.9083699418084
mig,1.3,727.9811479612315,158.7445284945549,802.1810461271557
