mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,19.45781707763672,28.684139251708984,3.4246444702148438
mig,0.6,40.5580997467041,95.96920013427734,4.4727325439453125
mps-uncap,0.7,19.522905349731445,29.500722885131836,3.3795833587646484
mig,0.7,40.78221321105957,96.06099128723145,4.511117935180664
mps-uncap,0.8,19.438505172729492,30.026912689208984,3.3812522888183594
mig,0.8,40.78865051269531,96.31180763244629,4.505395889282227
mps-uncap,0.9,19.90032196044922,31.698942184448242,20.37525177001953
mig,0.9,40.764570236206055,96.11392021179199,4.516363143920898
mps-uncap,1.0,19.91438865661621,29.62636947631836,7.182836532592773
mig,1.0,41.05806350708008,97.25475311279297,4.543304443359375
mps-uncap,1.1,20.03192901611328,31.715869903564453,15.496015548706055
mig,1.1,41.21756553649902,98.86670112609863,4.536151885986328
mps-uncap,1.2,20.009756088256836,32.0284366607666,4.495143890380859
mig,1.2,41.80502891540527,98.54459762573242,4.537105560302734
mps-uncap,1.3,20.041227340698242,33.236026763916016,5.433320999145508
mig,1.3,41.681766510009766,96.61293029785156,4.541873931884766
