mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,42.33512878417969,97.20182418823242,75.32057762145998
mig,0.6,126.48341655731204,352.6448011398316,13.908886909484865
mps-uncap,0.7,46.63815498352051,119.15409564971924,186.0170602798462
mig,0.7,164.89224433898937,340.38941860198963,18.465089797973633
mps-uncap,0.8,49.727797508239746,144.080138206482,978.4681320190431
mig,0.8,212.72361278533936,582.3508739471434,26.49703025817871
mps-uncap,0.9,54.50217723846436,169.9339866638184,17540.46199321747
mig,0.9,335.94970703125,775.7292509078981,50.88896751403811
mps-uncap,1.0,61.15360260009766,251.75027847290033,32945.41676044464
mig,1.0,1883.30249786377,2283.752918243408,604.2337656021118
mps-uncap,1.1,75.234055519104,343.83611679077154,42730.698466300964
mig,1.1,8098.560428619385,9520.930242538452,7206.832146644592
mps-uncap,1.2,99.52666759490972,1632.2447061538696,55519.69528198242
mig,1.2,13511.323690414429,14038.546657562258,12971.717357635498
mps-uncap,1.3,112.9231452941896,2378.7675857543945,61119.92979049683
mig,1.3,18479.85353469849,20624.723434448242,19271.250247955322
