mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,108.78348350524902,192.26360321044922,281.60786628723145
mig,0.6,255.67150115966797,631.2515735626221,50.589561462402344
mps-uncap,0.7,102.36334800720215,250.06532669067383,342.724084854126
mig,0.7,325.9732723236084,983.0458164215088,58.164358139038086
mps-uncap,0.8,132.17449188232422,620.2147006988525,1327.286720275879
mig,0.8,363.2998466491699,1234.1721057891846,67.31486320495605
mps-uncap,0.9,125.92911720275879,474.98011589050293,19070.0044631958
mig,0.9,694.9691772460938,1283.7636470794678,137.63880729675293
mps-uncap,1.0,142.99869537353516,477.8432846069336,35899.91307258606
mig,1.0,2275.2015590667725,2631.5765380859375,757.3378086090088
mps-uncap,1.1,168.49398612976074,925.825834274292,48333.05501937866
mig,1.1,8667.743682861328,10312.98542022705,8101.046562194824
mps-uncap,1.2,308.3012104034424,2608.900308609009,62570.19925117493
mig,1.2,15477.437973022461,14925.437211990356,14293.038129806519
mps-uncap,1.3,257.37524032592773,3082.117795944214,67894.70362663269
mig,1.3,20585.029125213623,23294.870138168335,21365.176916122437
