mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,28.50102424621582,111.11707687377928,29.02705669403076
mig,0.6,45.50264596939087,100.77975749969482,5.95923900604248
mps-uncap,0.7,29.45362091064453,128.79583358764665,29.967453479766892
mig,0.7,45.74031352996826,101.49428606033325,5.9262967109680185
mps-uncap,0.8,29.26038503646851,143.54838609695435,31.21009826660159
mig,0.8,46.24754190444946,102.19439268112184,6.008074283599854
mps-uncap,0.9,29.133586883544922,140.4045176506042,34.67104196548461
mig,0.9,46.45426273345947,102.44998931884764,5.999727249145506
mps-uncap,1.0,29.343032836914062,141.8756318092346,39.921040534973145
mig,1.0,46.7558765411377,103.09544086456299,6.0936522483825675
mps-uncap,1.1,29.59103584289551,146.8784761428833,40.76161146163938
mig,1.1,46.63493633270264,103.02006244659424,6.024672985076902
mps-uncap,1.2,29.515295028686523,149.5862102508545,44.781289100646966
mig,1.2,46.79737091064454,102.9764461517334,5.995128154754637
mps-uncap,1.3,29.564666748046875,150.91322898864746,45.46530008316041
mig,1.3,46.78765535354614,103.3243989944458,6.1162948608398455
