mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,19.887495040893555,38.51199150085449,67.98529624938966
mig,0.6,84.0046882629395,254.99587059021002,9.127306938171388
mps-uncap,0.7,23.4025001525879,63.568067550659215,178.99739742279053
mig,0.7,122.85008430480958,240.9430265426635,13.620615005493164
mps-uncap,0.8,25.789976119995117,86.25237941741946,972.714900970459
mig,0.8,170.26984691619873,484.1437578201292,21.583604812622074
mps-uncap,0.9,30.76326847076416,102.71153450012208,17536.363983154297
mig,0.9,292.3465728759766,675.6028175354004,45.8956241607666
mps-uncap,1.0,36.7447853088379,187.4390363693237,32941.285276412964
mig,1.0,1838.4621620178225,2182.3487281799316,599.250602722168
mps-uncap,1.1,51.090359687805176,274.67021942138683,42725.362229347236
mig,1.1,8055.156040191651,9420.072531700134,7201.955199241638
mps-uncap,1.2,74.89671707153323,1575.3409624099731,55497.27046489716
mig,1.2,13467.652320861816,13937.797451019287,12966.864705085754
mps-uncap,1.3,88.69524002075198,2300.917148590088,61109.5091342926
mig,1.3,18436.41290664673,20523.544311523438,19265.6466960907
