mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,29.854536056518555,137.15696334838867,47.25313186645508
mig,0.6,47.792673110961914,101.78780555725098,18.810510635375977
mps-uncap,0.7,38.43522071838379,144.06561851501465,58.1049919128418
mig,0.7,49.32284355163574,104.98332977294922,13.411283493041992
mps-uncap,0.8,31.10194206237793,146.02923393249512,47.10054397583008
mig,0.8,50.6739616394043,108.39557647705078,18.64457130432129
mps-uncap,0.9,31.345844268798828,151.3063907623291,47.37210273742676
mig,0.9,50.85301399230957,110.75448989868164,17.818927764892578
mps-uncap,1.0,30.925512313842773,152.5111198425293,47.79958724975586
mig,1.0,49.18336868286133,105.62014579772949,17.029523849487305
mps-uncap,1.1,35.285234451293945,148.70643615722656,48.833608627319336
mig,1.1,50.34589767456055,105.71026802062988,18.311738967895508
mps-uncap,1.2,31.352758407592773,160.59422492980957,49.32689666748047
mig,1.2,48.14791679382324,108.97970199584961,17.73810386657715
mps-uncap,1.3,31.151771545410156,157.5486660003662,49.50761795043945
mig,1.3,51.31053924560547,107.57255554199219,13.524770736694336
