mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,0.0133514404296875,0.015020370483398438,0.0133514404296875
mig,0.6,0.013113021850585938,0.014781951904296875,0.010967254638671875
mps-uncap,0.7,0.013113021850585938,0.014543533325195312,0.012159347534179688
mig,0.7,0.013113021850585938,0.014543533325195312,0.011920928955078125
mps-uncap,0.8,0.012636184692382812,0.01430511474609375,0.011682510375976562
mig,0.8,0.013589859008789062,0.014781951904296875,0.011444091796875
mps-uncap,0.9,0.012636184692382812,0.014781951904296875,0.018596649169921875
mig,0.9,0.013113021850585938,0.015497207641601562,0.011682510375976562
mps-uncap,1.0,0.013113021850585938,0.015020370483398438,0.017881393432617188
mig,1.0,0.017642974853515625,0.017642974853515625,0.0133514404296875
mps-uncap,1.1,0.012636184692382812,0.014543533325195312,0.018358230590820312
mig,1.1,0.017404556274414062,0.019311904907226562,0.013589859008789062
mps-uncap,1.2,0.012636184692382812,0.014543533325195312,0.014543533325195312
mig,1.2,0.024080276489257812,0.019550323486328125,0.0133514404296875
mps-uncap,1.3,0.013113021850585938,0.015020370483398438,0.018358230590820312
mig,1.3,0.014781951904296875,0.018596649169921875,0.015020370483398438
