mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,0.027179718017578125,0.027894973754882812,9.208917617797852
mig,0.6,10.267496109008789,29.271364212036133,1.3686418533325195
mps-uncap,0.7,0.021219253540039062,0.028133392333984375,35.87055206298828
mig,0.7,32.97281265258789,45.70662975311279,2.890467643737793
mps-uncap,0.8,0.019311904907226562,0.027418136596679688,215.38877487182617
mig,0.8,47.614216804504395,99.03419017791748,5.013704299926758
mps-uncap,0.9,0.0209808349609375,0.2557039260864258,8518.643021583557
mig,0.9,107.09977149963379,173.89845848083496,11.393308639526367
mps-uncap,1.0,2.3899078369140625,25.01094341278076,18889.82343673706
mig,1.0,1166.416883468628,817.5234794616699,373.562216758728
mps-uncap,1.1,7.169008255004883,58.214426040649414,23293.41208934784
mig,1.1,3702.146530151367,6965.234756469727,3971.1207151412964
mps-uncap,1.2,15.475869178771973,291.67354106903076,28668.659567832947
mig,1.2,6570.722341537476,4944.801568984985,7043.160557746887
mps-uncap,1.3,21.05998992919922,1079.7338485717773,32566.505789756775
mig,1.3,9942.209124565125,11669.94833946228,10161.988496780396
