mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,85.12282371520996,145.5392837524414,278.1500816345215
mig,0.6,213.83953094482422,533.2293510437012,45.79734802246094
mps-uncap,0.7,80.32631874084473,199.83530044555664,337.39614486694336
mig,0.7,285.12072563171387,885.6117725372314,53.57170104980469
mps-uncap,0.8,108.3378791809082,498.69775772094727,1323.9145278930664
mig,0.8,320.5523490905762,1134.230136871338,62.76893615722656
mps-uncap,0.9,99.73621368408203,418.7273979187012,19059.852361679077
mig,0.9,652.1098613739014,1183.8772296905518,132.62438774108887
mps-uncap,1.0,119.63129043579102,420.8104610443115,35894.69313621521
mig,1.0,2232.1465015411377,2530.208110809326,752.5382041931152
mps-uncap,1.1,141.2179470062256,836.3299369812012,48302.39176750183
mig,1.1,8623.284339904785,10212.549686431885,8096.209526062012
mps-uncap,1.2,283.6596965789795,2514.2641067504883,62548.55442047119
mig,1.2,15434.146404266357,14825.27208328247,14288.16819190979
mps-uncap,1.3,234.21883583068848,3032.8524112701416,67860.72564125061
mig,1.3,20542.548418045044,23196.990251541138,21355.016231536865
