mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,68.60052108764653,165.0722980499267,168.59911918640205
mig,0.6,215.75685977935788,545.24582862854,24.66503143310545
mps-uncap,0.7,74.5988559722902,208.1880354881293,284.0091872215271
mig,0.7,277.840428352356,804.9217700958252,33.25270175933841
mps-uncap,0.8,81.41789436340332,493.030354976654,1197.812614440918
mig,0.8,319.3827152252197,1121.2813019752502,45.815110206604004
mps-uncap,0.9,96.6014075279236,296.0966873168943,18846.70650959015
mig,0.9,530.2003669738767,1091.0404872894285,93.21236610412598
mps-uncap,1.0,113.94373893737799,400.1329803466796,35851.475954055786
mig,1.0,2205.5723333358774,2538.7767219543457,696.4755463600159
mps-uncap,1.1,131.22444152832034,814.1139030456545,47312.56957530975
mig,1.1,8457.238335609436,10009.793314933775,8006.827714443206
mps-uncap,1.2,189.1878247261049,2500.446491241455,62007.50203371047
mig,1.2,15127.091550827028,14647.463722229004,14233.022904396057
mps-uncap,1.3,193.19169998168948,2897.1869182586665,67169.15602684021
mig,1.3,20374.50095653534,22922.503271102905,21148.20346832276
