mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,25.881385803222656,77.21877098083496,14.231967926025398
mig,0.6,44.32566165924073,99.36039447784424,5.172300338745117
mps-uncap,0.7,26.113319396972656,82.25843906402588,14.698791503906262
mig,0.7,44.47488784790039,99.58798885345459,5.12242317199707
mps-uncap,0.8,26.12161636352539,87.61332035064706,14.583253860473638
mig,0.8,44.94822025299072,100.36156177520752,5.160427093505859
mps-uncap,0.9,26.33657455444336,92.71934032440187,19.102334976196293
mig,0.9,45.23630142211914,100.92551708221436,5.214595794677735
mps-uncap,1.0,26.534605026245117,108.75072479248045,21.56834602355957
mig,1.0,45.66464424133301,101.57761573791504,5.260729789733888
mps-uncap,1.1,26.74853801727295,118.97115707397465,25.890636444091808
mig,1.1,45.52764892578125,101.59327983856201,5.234766006469727
mps-uncap,1.2,26.84619426727295,136.32616996765137,30.279684066772468
mig,1.2,45.407772064208984,101.49669647216797,5.201363563537598
mps-uncap,1.3,26.8740177154541,142.77000427246094,33.42838287353516
mig,1.3,45.68021297454834,101.71475410461426,5.280733108520508
