mode,load,0_inception_v3-16,1_mobilenet_v2-8,2_resnet34-16
mps-uncap,0.8,25.342464447021484,10.31637191772461,16.49951934814453
mps-uncap,0.9,76.7056941986084,175.2946376800537,37.14728355407715
mps-uncap,1.0,2566.8246746063232,1325.5910873413086,3285.415530204773
mps-uncap,0.5,12.666940689086914,5.695819854736328,6.954193115234375
mps-uncap,0.6,14.04261589050293,5.951166152954102,7.922649383544922
mps-uncap,0.7,13.82303237915039,8.083820343017578,9.930610656738281
mps-uncap,0.1,20.093321800231934,9.635090827941895,8.084297180175781
mps-uncap,0.2,16.30866527557373,9.259343147277832,7.667303085327148
mps-uncap,0.3,14.867424964904785,7.524728775024414,7.25555419921875
mps-uncap,0.4,12.985825538635254,6.11269474029541,6.824970245361328
