mode,load,0_inception_v3-16,1_mobilenet_v2-8,2_resnet34-16
mps-uncap,0.8,122.93542861938477,38.75674009323121,88.60267639160155
mps-uncap,0.9,455.33132553100614,391.12434387207026,161.51054859161383
mps-uncap,1.0,4492.556464672088,2761.7144107818604,6956.157755851745
mps-uncap,0.5,37.31923103332518,18.863077163696293,26.12282752990723
mps-uncap,0.6,54.03104066848754,21.8464088439941,31.63638353347778
mps-uncap,0.7,53.09738874435425,34.90380048751827,48.55896472930896
mps-uncap,0.1,38.967041969299316,20.873422622680692,16.971044540405323
mps-uncap,0.2,38.49583148956298,24.717156887054447,17.50386953353882
mps-uncap,0.3,34.838881492614746,22.556781768798835,20.046954154968272
mps-uncap,0.4,36.39252901077271,21.181631088256868,20.7246732711792
