mode,load,0_inception_v3-16,1_mobilenet_v2-8,2_resnet34-16
mps-uncap,0.8,172.2862720489502,50.510406494140625,121.99950218200684
mps-uncap,0.9,546.2691783905029,411.91983222961426,190.4582977294922
mps-uncap,1.0,4579.756021499634,2796.5004444122314,7133.519649505615
mps-uncap,0.5,43.900489807128906,26.780128479003906,42.19818115234375
mps-uncap,0.6,81.634521484375,27.114391326904297,42.931318283081055
mps-uncap,0.7,57.96456336975098,50.103187561035156,66.3456916809082
mps-uncap,0.1,38.27929496765137,23.17976951599121,18.110990524291992
mps-uncap,0.2,31.36301040649414,25.372028350830078,30.395984649658203
mps-uncap,0.3,32.65857696533203,27.95577049255371,26.201963424682617
mps-uncap,0.4,42.78755187988281,29.912471771240234,43.32852363586426
