mode,load,0_inception_v3-16,1_mobilenet_v2-8,2_resnet34-16
mps-uncap,0.8,877.4586758611405,1458.1308689492218,1907.9359807454982
mps-uncap,0.9,1005.8249238653591,1610.9458425418377,2063.6678594112996
mps-uncap,1.0,1039.378624711391,1707.9952076654247,2045.6194084251026
mps-uncap,0.5,572.459429294557,898.8530088558098,1184.5433289439916
mps-uncap,0.6,670.0317224548288,1068.7561932914434,1396.5059730713165
mps-uncap,0.7,762.8434590916069,1238.376740079262,1618.1655775106785
mps-uncap,0.1,104.225951185788,179.1523964682519,235.60764311621816
mps-uncap,0.2,223.9495031658389,362.6941624039674,478.36589835259116
mps-uncap,0.3,325.2371482262741,548.1479201743056,694.7865149797328
mps-uncap,0.4,429.7260052707301,739.8261773178388,932.2504580243001
