mode,load,0_densenet201-8,1_mobilenet_v3_small-16,2_squeezenet1_0-2
mps-uncap,0.8,389.7815339855654,4394.401991656261,866.3826472728374
mps-uncap,0.9,418.22465904499205,5107.229875179891,971.2805046802465
mps-uncap,1.0,485.00858416817516,5458.563138775064,1077.4682806380806
mps-uncap,0.5,231.42164231798515,2804.308198666901,547.2098867610988
mps-uncap,0.6,292.38167230911245,3303.0196216714285,652.715696325524
mps-uncap,0.7,327.88200813151406,3902.174614086692,767.1919648615394
mps-uncap,0.1,46.41883688994442,551.2245863688762,112.00900399201922
mps-uncap,0.2,100.17042355105802,1121.624619551559,215.33425939402363
mps-uncap,0.3,143.54387131704178,1702.3771325138412,324.0036241499144
mps-uncap,0.4,176.4981220011757,2256.716006749212,437.11029761181345
