mode,load,0_densenet201-8,1_mobilenet_v3_small-16,2_squeezenet1_0-2
mps-uncap,0.8,137.32385635375977,45.4707145690918,14.278650283813477
mps-uncap,0.9,157.16004371643066,96.9550609588623,31.455516815185547
mps-uncap,1.0,812.8836154937744,2578.193426132202,23.847103118896484
mps-uncap,0.5,74.12433624267578,24.1391658782959,13.154268264770508
mps-uncap,0.6,62.757253646850586,23.869752883911133,14.487743377685547
mps-uncap,0.7,88.51885795593262,25.86817741394043,11.669635772705078
mps-uncap,0.1,29.8001766204834,16.437292098999023,6.691455841064453
mps-uncap,0.2,41.948556900024414,20.012378692626953,8.422136306762695
mps-uncap,0.3,46.18573188781738,23.787736892700195,11.566638946533203
mps-uncap,0.4,42.41538047790527,22.623300552368164,14.153003692626953
