mode,load,0_densenet201-8,1_mobilenet_v3_small-16,2_squeezenet1_0-2
mps-uncap,0.8,0.011682510375976562,0.008106231689453125,0.0073909759521484375
mps-uncap,0.9,0.011205673217773438,0.008344650268554688,0.00762939453125
mps-uncap,1.0,0.013113021850585938,0.009775161743164062,0.0073909759521484375
mps-uncap,0.5,0.010251998901367188,0.008821487426757812,0.009298324584960938
mps-uncap,0.6,0.011682510375976562,0.00858306884765625,0.00762939453125
mps-uncap,0.7,0.011920928955078125,0.00858306884765625,0.0073909759521484375
mps-uncap,0.1,0.01430511474609375,0.011444091796875,0.010013580322265625
mps-uncap,0.2,0.012874603271484375,0.010967254638671875,0.009775161743164062
mps-uncap,0.3,0.01239776611328125,0.01049041748046875,0.008106231689453125
mps-uncap,0.4,0.011444091796875,0.008821487426757812,0.008106231689453125
