mode,load,0_densenet201-8,1_mobilenet_v3_small-16,2_squeezenet1_0-2
mps-uncap,0.8,11.934995651245117,2.3298263549804688,0.9517669677734375
mps-uncap,0.9,12.166500091552734,2.283811569213867,0.9655952453613281
mps-uncap,1.0,12.514829635620117,2.3005008697509766,0.9553432464599609
mps-uncap,0.5,12.151241302490234,2.3322105407714844,0.9808540344238281
mps-uncap,0.6,12.157201766967773,2.3429393768310547,0.9567737579345703
mps-uncap,0.7,12.082338333129883,2.2962093353271484,0.9474754333496094
mps-uncap,0.1,12.03775405883789,2.393007278442383,0.9853839874267578
mps-uncap,0.2,12.021780014038086,2.378225326538086,0.9627342224121094
mps-uncap,0.3,11.991262435913086,2.3064613342285156,0.9737014770507812
mps-uncap,0.4,12.156963348388672,2.295255661010742,0.9624958038330078
