mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2,2_mobilenet_v3_small-2,3_mobilenet_v3_small-2
mig,0.1,5.621194839477539,5.703926086425781,5.72514533996582,2.8673410415649414
mig,0.2,5.68079948425293,5.867719650268555,5.923628807067871,5.954980850219727
mig,0.3,5.069732666015625,5.301952362060547,5.222558975219727,5.299687385559082
mig,0.4,4.070043563842773,4.119515419006348,4.131078720092773,4.167675971984863
mig,0.5,3.0570030212402344,3.595590591430664,3.5979747772216797,3.564596176147461
mig,0.6,3.488302230834961,3.4148693084716797,3.401637077331543,3.7276744842529297
mig,0.7,4.397869110107422,3.909945487976074,4.229903221130371,3.9751529693603516
mig,0.8,5.132436752319336,4.799365997314453,5.259394645690918,5.493402481079102
mig,0.9,7.657766342163086,6.724953651428223,9.613275527954102,8.89730453491211
mig,1.0,65.26243686676025,23.48017692565918,12.342572212219238,58.84981155395508
