mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2,2_mobilenet_v3_small-2,3_mobilenet_v3_small-2
mig,0.1,16.376972198486328,12.567281723022461,14.481782913208008,12.560129165649414
mig,0.2,27.164697647094727,22.084951400756836,22.545576095581055,22.60589599609375
mig,0.3,31.12053871154785,30.76791763305664,24.25241470336914,24.666547775268555
mig,0.4,20.308256149291992,24.29676055908203,21.195173263549805,27.26888656616211
mig,0.5,18.672704696655273,18.3103084564209,21.94690704345703,20.43318748474121
mig,0.6,27.982473373413086,22.033214569091797,18.332242965698242,18.139123916625977
mig,0.7,23.410558700561523,33.1883430480957,25.073766708374023,30.956506729125977
mig,0.8,35.5076789855957,32.552480697631836,29.376745223999023,32.08160400390625
mig,0.9,59.320926666259766,47.66559600830078,113.84820938110352,52.60300636291504
mig,1.0,237.9617691040039,198.93479347229004,89.10441398620605,200.7884979248047
