mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2,2_mobilenet_v3_small-2,3_mobilenet_v3_small-2
mig,0.1,85.14755119647275,83.33345591104207,82.42632472264343,81.56455723197631
mig,0.2,163.64201827321858,162.99466982657944,163.34267684730202,160.72337405881814
mig,0.3,249.16972086943795,243.32581886188615,247.68795005843887,240.3643698647857
mig,0.4,329.30488536956,321.80172484789085,326.78998695700943,319.3873209144972
mig,0.5,411.5265279894881,410.10698060953615,403.5704401142046,404.7567601164212
mig,0.6,494.0874659612438,481.75962238597225,488.5244395945969,490.8546813708878
mig,0.7,588.4081098898965,557.1664103898964,571.276590269225,553.6440069090793
mig,0.8,665.9485926255039,655.7377361083732,654.328009878677,646.362439708714
mig,0.9,733.750965846297,712.698157371459,738.4379745293439,724.4663373648003
mig,1.0,831.2010922498922,811.7643266597048,812.3832083231998,803.7800318578965
