mode,load,0_inception_v3-2,1_mobilenet_v3_large-32,2_vgg16-2
mps-uncap,0.8,33.8045358657837,48.370246887207024,19.412384033203146
mps-uncap,0.9,108.87916088104241,74.372239112854,34.36886787414551
mps-uncap,1.0,2704.0701031684875,197.756609916687,156.19123935699463
mps-uncap,0.5,21.8534517288208,14.466152191162095,6.743793487548827
mps-uncap,0.6,25.22679567337034,20.179262161254876,8.335430622100832
mps-uncap,0.7,38.07199001312256,25.192008018493645,12.502646446227963
mps-uncap,0.1,11.25579118728638,6.491150856018038,2.0668387413024893
mps-uncap,0.2,15.610487461090093,8.384315967559749,2.84731388092041
mps-uncap,0.3,18.540606498718255,10.717146396636977,3.651452064514163
mps-uncap,0.4,19.51289176940918,15.480575561523436,5.377244949340811
