mode,load,0_inception_v3-2,1_mobilenet_v3_large-32,2_vgg16-2
mps-uncap,0.8,138.84028958333752,3149.043486961869,394.0909150565285
mps-uncap,0.9,154.18829383781235,3571.753898089573,449.67850201548407
mps-uncap,1.0,168.06205148951628,4028.4143306638252,507.4317838315619
mps-uncap,0.5,86.81238882818958,2018.4820460894534,252.78016180765172
mps-uncap,0.6,103.08395537931683,2418.208384823455,302.11355146459897
mps-uncap,0.7,122.37307000396828,2753.0101453936218,346.4305195367972
mps-uncap,0.1,16.05594120113093,420.20767168496855,51.96299177611408
mps-uncap,0.2,35.038746764541024,773.3679382644963,100.29091670232914
mps-uncap,0.3,52.816626228345356,1169.7015297815917,155.4745526818796
mps-uncap,0.4,68.78790442247696,1568.6129643172412,200.1116739794481
