mode,load,0_inception_v3-2,1_mobilenet_v3_large-32,2_vgg16-2
mps-uncap,0.8,44.28052902221683,55.71172237396239,22.85928726196291
mps-uncap,0.9,119.98236179351804,81.04177951812746,38.21419239044194
mps-uncap,1.0,2717.5147414207463,204.88455772399902,159.79419231414795
mps-uncap,0.5,31.21896505355835,20.879583358764613,10.172977447509764
mps-uncap,0.6,32.789409160614,26.41817569732664,11.612083911895766
mps-uncap,0.7,45.77547311782837,31.826100349426234,15.749392509460419
mps-uncap,0.1,23.111710548400882,13.340804576873778,4.558074474334716
mps-uncap,0.2,25.90764760971075,15.29544830322259,5.396461486816403
mps-uncap,0.3,29.434461593627873,17.726218700408943,6.459140777587907
mps-uncap,0.4,28.525571823120124,21.4820766448974,8.230018615722647
