mode,load,0_inception_v3-2,1_mobilenet_v3_large-32,2_vgg16-2
mps-uncap,0.8,0.009298324584960938,0.01049041748046875,0.008106231689453125
mps-uncap,0.9,0.01049041748046875,0.010013580322265625,0.008106231689453125
mps-uncap,1.0,0.01239776611328125,0.010251998901367188,0.0095367431640625
mps-uncap,0.5,0.011444091796875,0.010967254638671875,0.008821487426757812
mps-uncap,0.6,0.010013580322265625,0.009298324584960938,0.0095367431640625
mps-uncap,0.7,0.010728836059570312,0.010967254638671875,0.00762939453125
mps-uncap,0.1,0.01239776611328125,0.01430511474609375,0.011444091796875
mps-uncap,0.2,0.011682510375976562,0.011682510375976562,0.01049041748046875
mps-uncap,0.3,0.015974044799804688,0.010728836059570312,0.01049041748046875
mps-uncap,0.4,0.010967254638671875,0.009059906005859375,0.010251998901367188
