mode,load,0_inception_v3-2,1_mobilenet_v3_large-32,2_vgg16-2
mps-uncap,0.8,4.698038101196289,4.800319671630859,1.9071102142333984
mps-uncap,0.9,4.746675491333008,4.83250617980957,1.922607421875
mps-uncap,1.0,4.703998565673828,5.08427619934082,1.9583702087402344
mps-uncap,0.5,4.749774932861328,4.807233810424805,1.9240379333496094
mps-uncap,0.6,4.741430282592773,4.822254180908203,1.9237995147705078
mps-uncap,0.7,4.703521728515625,4.823446273803711,1.9288063049316406
mps-uncap,0.1,4.961967468261719,4.842281341552734,1.9211769104003906
mps-uncap,0.2,4.717826843261719,4.813909530639648,1.9273757934570312
mps-uncap,0.3,4.828691482543945,4.831552505493164,1.922607421875
mps-uncap,0.4,4.717826843261719,4.820108413696289,1.9233226776123047
