mode,load,0_inception_v3-2,1_mobilenet_v3_large-32,2_vgg16-2
mps-uncap,0.8,8.331537246704102,6.729841232299805,2.919435501098633
mps-uncap,0.9,9.989738464355469,7.239222526550293,3.0951499938964844
mps-uncap,1.0,12.611985206604004,7.563233375549316,3.2722949981689453
mps-uncap,0.5,8.858203887939453,6.607294082641602,2.225637435913086
mps-uncap,0.6,8.216023445129395,6.291389465332031,2.3659467697143555
mps-uncap,0.7,7.871150970458984,6.352663040161133,2.6497840881347656
mps-uncap,0.1,12.11845874786377,7.098674774169922,2.1344423294067383
mps-uncap,0.2,11.924386024475098,7.158994674682617,2.146482467651367
mps-uncap,0.3,11.811375617980957,7.213592529296875,2.167224884033203
mps-uncap,0.4,9.603738784790039,7.042884826660156,2.2094249725341797
