mode,load,0_inception_v3-2,1_mobilenet_v3_large-32,2_vgg16-2
mps-uncap,0.8,4.758596420288086,4.819393157958984,1.9254684448242188
mps-uncap,0.9,4.807472229003906,4.845619201660156,1.9385814666748047
mps-uncap,1.0,4.797935485839844,5.10859489440918,1.9772052764892578
mps-uncap,0.5,4.791736602783203,4.832983016967773,1.9352436065673828
mps-uncap,0.6,4.788875579833984,4.846334457397461,1.9376277923583984
mps-uncap,0.7,4.758596420288086,4.846334457397461,1.9445419311523438
mps-uncap,0.1,4.974365234375,4.8618316650390625,1.9326210021972656
mps-uncap,0.2,4.85539436340332,4.826068878173828,1.9423961639404297
mps-uncap,0.3,5.010843276977539,4.849672317504883,1.9423961639404297
mps-uncap,0.4,4.800081253051758,4.836320877075195,1.9412040710449219
