mode,load,0_densenet121-32,1_efficientnet_b6-2,2_efficientnet_b7-32
mps-uncap,0.8,0.012636184692382812,0.0133514404296875,0.017881393432617188
mps-uncap,0.9,0.013828277587890625,0.013589859008789062,0.017642974853515625
mps-uncap,1.0,0.014066696166992188,0.013589859008789062,0.019073486328125
mps-uncap,0.5,0.012159347534179688,0.013828277587890625,0.015974044799804688
mps-uncap,0.6,0.014066696166992188,0.012874603271484375,0.016689300537109375
mps-uncap,0.7,0.011920928955078125,0.012636184692382812,0.015735626220703125
mps-uncap,0.1,0.025272369384765625,0.023126602172851562,0.025510787963867188
mps-uncap,0.2,0.018358230590820312,0.014066696166992188,0.025033950805664062
mps-uncap,0.3,0.013589859008789062,0.013589859008789062,0.018358230590820312
mps-uncap,0.4,0.012636184692382812,0.013589859008789062,0.018835067749023438
