mode,load,0_densenet121-32,1_efficientnet_b6-2,2_efficientnet_b7-32
mps-uncap,0.8,51.20849609375,56.88047409057617,74.8746395111084
mps-uncap,0.9,50.88043212890625,57.58237838745117,74.26238059997559
mps-uncap,1.0,51.039934158325195,56.571245193481445,75.10852813720703
mps-uncap,0.5,50.783395767211914,57.32297897338867,70.39785385131836
mps-uncap,0.6,48.201799392700195,60.296058654785156,73.73785972595215
mps-uncap,0.7,49.149513244628906,60.36520004272461,73.33612442016602
mps-uncap,0.1,49.49450492858887,51.97739601135254,61.646223068237305
mps-uncap,0.2,48.89822006225586,51.62620544433594,69.9770450592041
mps-uncap,0.3,49.76463317871094,52.2618293762207,70.67394256591797
mps-uncap,0.4,49.62778091430664,53.53283882141113,69.62466239929199
