mode,load,0_alexnet-8,1_densenet121-32,2_vgg19-4
mps-uncap,0.8,2141.2493243655463,683.1315387631258,404.094675040571
mps-uncap,0.9,2388.4192822567165,829.1384333001762,460.5668288027976
mps-uncap,1.0,2693.452286903079,849.9546284469159,513.8063702562737
mps-uncap,0.5,1339.0415238106737,451.5695230618424,253.33578710951258
mps-uncap,0.6,1600.7068545011348,569.8980198933332,300.8237080183885
mps-uncap,0.7,1894.8750710612226,607.7715703748493,362.94765731835827
mps-uncap,0.1,278.53824571021005,76.53085799857901,49.00258951557092
mps-uncap,0.2,535.8371679298452,181.53416048233848,103.92726574004554
mps-uncap,0.3,803.4521584744034,264.0585411156254,153.0427564469796
mps-uncap,0.4,1093.8091378599668,351.61419619131954,209.89423011691343
