mode,load,0_efficientnet_b7-2,1_inception_v3-4,2_resnet34-32
mps-uncap,0.8,12.39466667175293,4.759311676025391,6.195783615112305
mps-uncap,0.9,11.821269989013672,4.814863204956055,6.183385848999023
mps-uncap,1.0,12.714385986328125,4.862070083618164,6.833314895629883
mps-uncap,0.5,12.299776077270508,4.785776138305664,6.188631057739258
mps-uncap,0.6,12.199640274047852,4.8065185546875,6.182432174682617
mps-uncap,0.7,11.86370849609375,4.897356033325195,6.159782409667969
mps-uncap,0.1,12.284994125366211,4.993915557861328,6.204843521118164
mps-uncap,0.2,12.10474967956543,4.850864410400391,6.181001663208008
mps-uncap,0.3,11.826276779174805,4.872322082519531,6.195306777954102
mps-uncap,0.4,11.975765228271484,4.787206649780273,6.177663803100586
