mode,load,0_efficientnet_b7-2,1_inception_v3-4,2_resnet34-32
mps-uncap,0.8,24.428799152374268,12.710726261138916,8.384160995483398
mps-uncap,0.9,27.496087551116943,13.181743621826172,8.170485496520996
mps-uncap,1.0,26.64923667907714,12.255830764770508,8.5068941116333
mps-uncap,0.5,25.115077495574948,12.42792606353761,8.070545196533203
mps-uncap,0.6,24.11426305770874,12.444586753845215,8.138952255249025
mps-uncap,0.7,24.397869110107404,12.26533889770508,8.211762905120851
mps-uncap,0.1,33.23122024536132,14.023048877716064,7.458620071411133
mps-uncap,0.2,31.894004344940193,14.13379669189453,7.707829475402833
mps-uncap,0.3,29.50232028961178,14.107894897460936,7.9682016372680655
mps-uncap,0.4,25.30083656311035,13.53721618652344,7.9758310317993155
