mode,load,0_efficientnet_b7-2,1_inception_v3-4,2_resnet34-32
mps-uncap,0.8,184.0379238128662,120.51916122436523,87.2199535369873
mps-uncap,0.9,299.88765716552734,228.4855842590332,132.01069831848145
mps-uncap,1.0,1022.2110748291016,887.582540512085,566.8728351593018
mps-uncap,0.5,67.15798377990723,43.01714897155762,39.21675682067871
mps-uncap,0.6,98.88839721679688,52.809953689575195,51.68747901916504
mps-uncap,0.7,100.33369064331055,75.79922676086426,65.54460525512695
mps-uncap,0.1,53.582191467285156,41.56017303466797,17.948627471923828
mps-uncap,0.2,50.60005187988281,38.81955146789551,19.18816566467285
mps-uncap,0.3,57.001352310180664,38.97976875305176,25.513410568237305
mps-uncap,0.4,61.47050857543945,41.64481163024902,49.85809326171875
