mode,load,0_efficientnet_b7-2,1_inception_v3-4,2_resnet34-32
mps-uncap,0.8,0.012636184692382812,0.0095367431640625,0.009775161743164062
mps-uncap,0.9,0.011682510375976562,0.010728836059570312,0.01049041748046875
mps-uncap,1.0,0.013828277587890625,0.010967254638671875,0.011444091796875
mps-uncap,0.5,0.012636184692382812,0.01049041748046875,0.010728836059570312
mps-uncap,0.6,0.01239776611328125,0.009059906005859375,0.010251998901367188
mps-uncap,0.7,0.011682510375976562,0.011205673217773438,0.009298324584960938
mps-uncap,0.1,0.022172927856445312,0.012636184692382812,0.013113021850585938
mps-uncap,0.2,0.012874603271484375,0.012874603271484375,0.010728836059570312
mps-uncap,0.3,0.012159347534179688,0.011682510375976562,0.011444091796875
mps-uncap,0.4,0.010251998901367188,0.009298324584960938,0.010728836059570312
