mode,load,0_efficientnet_b7-4,1_resnet152-4,2_squeezenet1_1-4
mps-uncap,0.8,23.030757904052734,14.007806777954102,2.359151840209961
mps-uncap,0.9,23.211956024169922,13.899803161621094,2.3622512817382812
mps-uncap,1.0,22.843480110168457,14.027833938598633,2.3844242095947266
mps-uncap,0.5,22.03679084777832,14.013051986694336,1.9826889038085938
mps-uncap,0.6,22.255420684814453,13.786911964416504,2.0012855529785156
mps-uncap,0.7,23.189306259155273,14.058589935302734,1.9924640655517578
mps-uncap,0.1,23.415565490722656,19.68216896057129,3.756284713745117
mps-uncap,0.2,22.997736930847168,14.642477035522461,3.2422542572021484
mps-uncap,0.3,21.90101146697998,14.040470123291016,2.2847652435302734
mps-uncap,0.4,22.15588092803955,14.0228271484375,2.071380615234375
