mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,12.530064582824707,20.751595497131348,23.41897487640381
mig,0.6,41.24932289123535,11.995935440063478,12.678003311157227
mps-uncap,0.7,13.157629966735842,37.6582145690918,39.857864379882805
mig,0.7,54.45437431335449,14.738345146179205,15.484690666198725
mps-uncap,0.8,14.156341552734375,112.2389554977417,176.61008834838864
mig,0.8,75.61151981353761,24.625158309936523,22.724175453186035
mps-uncap,0.9,15.93537330627441,7546.009302139283,9683.348274230957
mig,0.9,162.5912189483643,39.37208652496339,56.53507709503176
mps-uncap,1.0,16.667842864990234,18654.27293777466,15676.539945602417
mig,1.0,1193.6969757080078,104.61478233337404,512.6717567443848
mps-uncap,1.1,19.632959365844734,24785.192894935608,24390.293836593628
mig,1.1,6179.367303848268,5697.233057022096,4276.249980926514
mps-uncap,1.2,23.255228996276855,31370.443534851078,30519.083952903748
mig,1.2,13436.801528930666,11714.202880859375,11907.47058391571
mps-uncap,1.3,25.582313537597663,38220.1329946518,36531.11665248871
mig,1.3,18019.413232803345,17275.998973846436,15333.382272720339
