mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,8.165669441223146,6.953835487365723,7.362651824951172
mig,0.6,14.40739631652832,4.492282867431641,4.472255706787109
mps-uncap,0.7,7.7919244766235405,7.459402084350586,7.007122039794922
mig,0.7,14.35642242431641,4.357099533081055,4.329919815063477
mps-uncap,0.8,7.13801383972168,7.082056999206544,7.480382919311523
mig,0.8,13.775300979614258,4.303216934204102,4.284143447875977
mps-uncap,0.9,6.959366798400879,7.092952728271484,7.631516456604004
mig,0.9,13.292837142944338,4.281759262084961,4.207849502563477
mps-uncap,1.0,6.957054138183594,7.700920104980469,7.117748260498047
mig,1.0,13.053083419799805,4.155397415161133,4.307270050048828
mps-uncap,1.1,6.98091983795166,7.814478874206544,7.173633575439453
mig,1.1,13.090872764587402,4.155397415161133,4.130840301513672
mps-uncap,1.2,7.017016410827637,7.933950424194336,7.201600074768066
mig,1.2,13.07530403137207,4.2057037353515625,4.184126853942871
mps-uncap,1.3,7.056474685668945,8.095979690551758,7.244586944580078
mig,1.3,13.247013092041016,4.211664199829102,4.128217697143555
