mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,5.816459655761719,15.805840492248535,18.373608589172367
mig,0.6,28.21574211120607,7.939243316650392,8.61065387725831
mps-uncap,0.7,6.328272819519043,32.654762268066406,34.84840393066405
mig,0.7,41.18828773498536,10.62283515930176,11.381149291992188
mps-uncap,0.8,7.381200790405273,107.17341899871828,171.74155712127686
mig,0.8,62.56053447723392,20.506668090820312,18.63334178924561
mps-uncap,0.9,9.259891510009764,7540.98596572876,9677.743816375732
mig,0.9,149.82614517211917,35.213088989257834,52.45275497436525
mps-uncap,1.0,9.910821914672852,18650.01311302185,15671.268486976624
mig,1.0,1181.1079740524292,100.50010681152347,508.4758758544923
mps-uncap,1.1,12.864971160888677,24779.897952079777,24384.40690040588
mig,1.1,6166.513371467592,5693.149423599244,4272.187185287476
mps-uncap,1.2,16.417622566223145,31362.059783935547,30512.429451942444
mig,1.2,13424.207830429079,11710.145473480225,11903.367042541504
mps-uncap,1.3,18.716335296630874,38213.11058998109,36526.741099357605
mig,1.3,18006.8941116333,17271.856117248535,15329.410600662231
