mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,31.643390655517578,69.88739967346191,99.02739524841309
mig,0.6,129.3478012084961,35.634756088256836,37.58049011230469
mps-uncap,0.7,32.65023231506348,105.9567928314209,143.64314079284668
mig,0.7,147.91226387023926,36.70811653137207,49.19767379760742
mps-uncap,0.8,35.74252128601074,189.23115730285645,452.5167942047119
mig,0.8,310.9250068664551,57.09695816040039,56.12444877624512
mps-uncap,0.9,46.1277961730957,7805.049657821655,10687.23464012146
mig,0.9,286.49163246154785,118.81446838378906,123.9614486694336
mps-uncap,1.0,50.2321720123291,20708.41073989868,18008.956909179688
mig,1.0,1470.6637859344482,267.0109272003174,709.4159126281738
mps-uncap,1.1,68.92967224121094,27372.701406478882,26887.972354888916
mig,1.1,7017.440557479858,6179.462671279907,4921.09489440918
mps-uncap,1.2,70.96552848815918,34986.08708381653,34207.06295967102
mig,1.2,14330.964803695679,12961.51065826416,12966.755151748657
mps-uncap,1.3,85.92653274536133,42397.0091342926,40576.25102996826
mig,1.3,20432.035446166992,19205.007076263428,17211.55309677124
