mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,13.954877853393555,15.642166137695312,20.066499710083008
mig,0.6,20.353317260742188,8.616447448730469,10.202884674072266
mps-uncap,0.7,20.904064178466797,21.746158599853516,13.132095336914062
mig,0.7,17.445802688598633,6.299734115600586,6.709098815917969
mps-uncap,0.8,12.084245681762695,11.239051818847656,13.104915618896484
mig,0.8,20.063400268554688,15.015602111816406,12.06064224243164
mps-uncap,0.9,11.574745178222656,11.570930480957031,13.768911361694336
mig,0.9,17.059803009033203,5.951642990112305,5.925178527832031
mps-uncap,1.0,11.1541748046875,14.005422592163086,12.237310409545898
mig,1.0,20.86615562438965,12.024402618408203,16.075849533081055
mps-uncap,1.1,15.472888946533203,12.202978134155273,12.989521026611328
mig,1.1,20.119667053222656,7.4138641357421875,10.540008544921875
mps-uncap,1.2,15.416145324707031,14.164209365844727,14.561176300048828
mig,1.2,19.626379013061523,9.766817092895508,13.703584671020508
mps-uncap,1.3,13.968706130981445,17.997264862060547,17.081260681152344
mig,1.3,18.161296844482422,10.526657104492188,9.752273559570312
