mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,24.941444396972656,65.71364402770996,91.8433666229248
mig,0.6,116.67490005493164,31.6159725189209,33.003807067871094
mps-uncap,0.7,25.267362594604492,98.85597229003906,139.5263671875
mig,0.7,135.24341583251953,32.61995315551758,45.122623443603516
mps-uncap,0.8,28.87701988220215,184.98730659484863,445.3320503234863
mig,0.8,298.3715534210205,53.009748458862305,52.08277702331543
mps-uncap,0.9,39.288997650146484,7799.8034954071045,10681.273698806763
mig,0.9,273.9572525024414,114.67480659484863,119.9343204498291
mps-uncap,1.0,43.66135597229004,20704.11992073059,18002.0592212677
mig,1.0,1458.0481052398682,263.01002502441406,705.2462100982666
mps-uncap,1.1,62.17336654663086,27367.697954177856,26880.444765090942
mig,1.1,7004.800081253052,6175.389051437378,4917.010307312012
mps-uncap,1.2,63.88354301452637,34975.419998168945,34192.862033843994
mig,1.2,14318.151235580444,12953.427791595459,12958.476305007935
mps-uncap,1.3,79.26702499389648,42379.01186943054,40559.16976928711
mig,1.3,20419.548273086548,19200.93536376953,17202.74829864502
