mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,747.5124733521094,1149.7767495976557,1165.3575979322518
mig,0.6,753.1550066060219,1113.4685788269626,1150.8524713092602
mps-uncap,0.7,855.7961344661692,1329.46628011353,1341.3669742747588
mig,0.7,875.6979393045912,1291.115068194183,1333.9210137776952
mps-uncap,0.8,961.3291976159439,1503.7492842126371,1501.5570953972292
mig,0.8,985.2652097004222,1532.9626596149621,1531.9770427366952
mps-uncap,0.9,1107.38871152675,1555.6590081016893,1502.6223865556888
mig,0.9,1123.527991523895,1705.7651933076215,1709.5550469731752
mps-uncap,1.0,1187.6059179843573,1470.9948502042682,1525.8536529267085
mig,1.0,1232.880650582223,1873.2436303986378,1880.9324323430137
mps-uncap,1.1,1350.0390106335612,1421.424769296055,1463.3128150693988
mig,1.1,1248.4563918034119,1951.4930160736137,1965.2364394986696
mps-uncap,1.2,1470.6793604950235,1379.5319295007737,1425.0992188055156
mig,1.2,1248.7134084676877,1929.8434842123017,1940.122516456255
mps-uncap,1.3,1598.192133031946,1309.8770144771913,1383.1993259314954
mig,1.3,1243.3446873917655,1930.9099818888512,1969.4400918407343
