mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,5.861997604370117,4.080295562744141,4.11534309387207
mig,0.6,12.40229606628418,3.978252410888672,3.985166549682617
mps-uncap,0.7,5.9967041015625,4.052639007568359,4.107236862182617
mig,0.7,12.447357177734375,4.029273986816406,4.004478454589844
mps-uncap,0.8,6.026983261108398,4.192590713500977,4.05573844909668
mig,0.8,12.408018112182617,4.037380218505859,4.021644592285156
mps-uncap,0.9,6.2084197998046875,4.792928695678711,7.362842559814453
mig,0.9,12.38560676574707,4.075527191162109,3.9963722229003906
mps-uncap,1.0,6.180286407470703,4.222869873046875,4.364728927612305
mig,1.0,12.544870376586914,4.010438919067383,4.196643829345703
mps-uncap,1.1,6.296396255493164,4.149436950683594,4.431486129760742
mig,1.1,12.559652328491211,4.104852676391602,4.195213317871094
mps-uncap,1.2,6.237268447875977,4.136085510253906,4.250526428222656
mig,1.2,12.556314468383789,4.143238067626953,4.090070724487305
mps-uncap,1.3,6.2274932861328125,4.278659820556641,4.288911819458008
mig,1.3,12.630224227905273,4.172801971435547,4.044532775878906
