mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,19.841620922088605,37.00309991836548,46.912515163421624
mig,0.6,72.966537475586,21.34319782257069,21.959857940673903
mps-uncap,0.7,21.583347320556644,66.34140014648439,97.52810478210448
mig,0.7,97.6758384704591,25.412979125976562,27.40743160247802
mps-uncap,0.8,23.379921913146973,157.82370805740356,398.2296156883243
mig,0.8,189.91996526717844,42.91900634765625,38.56241703033449
mps-uncap,0.9,27.075755596160842,7724.233999252319,10604.161760807036
mig,0.9,222.97161102294936,81.41819715499877,97.27955341339114
mps-uncap,1.0,29.71851825714111,20448.79165172577,17797.682778835297
mig,1.0,1382.3650026321404,225.9836697578432,668.6797046661375
mps-uncap,1.1,35.66960573196413,27100.81615447998,26629.85167980194
mig,1.1,6856.652915477754,6095.460832118988,4873.92240524292
mps-uncap,1.2,43.50239038467406,34605.44018745423,33818.448078632355
mig,1.2,14272.848863601685,12819.767522811888,12841.549754142761
mps-uncap,1.3,51.082458496093764,42029.268329143524,40167.573380470276
mig,1.3,20112.71095275879,18978.687486648556,17082.74742126465
