mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,5.845785140991211,4.052877426147461,4.079103469848633
mig,0.6,12.35508918762207,3.9396286010742188,3.9544105529785156
mps-uncap,0.7,5.9680938720703125,4.024982452392578,4.06646728515625
mig,0.7,12.358665466308594,3.9849281311035156,3.973245620727539
mps-uncap,0.8,6.010532379150391,4.150152206420898,3.9985179901123047
mig,0.8,12.37177848815918,3.9985179901123047,3.9899349212646484
mps-uncap,0.9,6.194829940795898,4.038095474243164,4.057884216308594
mig,0.9,12.355327606201172,4.028558731079102,3.9577484130859375
mps-uncap,1.0,6.159543991088867,4.08625602722168,4.060983657836914
mig,1.0,12.340545654296875,3.963947296142578,4.1179656982421875
mps-uncap,1.1,6.273031234741211,4.034757614135742,4.1027069091796875
mig,1.1,12.355804443359375,3.9877891540527344,3.9544105529785156
mps-uncap,1.2,6.223440170288086,3.983020782470703,4.089593887329102
mig,1.2,12.35198974609375,4.024744033813477,4.00233268737793
mps-uncap,1.3,6.208658218383789,4.058122634887695,4.065275192260742
mig,1.3,12.358665466308594,4.0187835693359375,3.9415359497070312
