mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,12.924153804779044,31.869947910308838,42.14595079421997
mig,0.6,60.38629055023197,17.280025482177734,17.86333322525026
mps-uncap,0.7,15.01263380050661,60.901927947998146,92.65931606292722
mig,0.7,84.68156814575202,21.34703636169432,23.34820985794066
mps-uncap,0.8,16.688942909240723,152.90149211883534,393.4981989860535
mig,0.8,176.01262092590107,38.786845207214355,34.494550228118904
mps-uncap,0.9,20.431513786315918,7718.759965896606,10598.761534690857
mig,0.9,210.285291671753,77.30977296829221,93.20794105529788
mps-uncap,1.0,22.833323478698723,20444.177460670475,17792.253115177155
mig,1.0,1369.7883749008172,221.87086105346688,664.4560718536375
mps-uncap,1.1,28.93841981887818,27096.00133895874,26625.522060394287
mig,1.1,6843.936734199525,6091.331853866577,4869.89896774292
mps-uncap,1.2,36.55811548233025,34600.60611724854,33813.147938251495
mig,1.2,14260.069551467896,12815.64655303955,12837.470698356628
mps-uncap,1.3,44.19500350952152,42022.01297044754,40160.784854888916
mig,1.3,20100.071239471436,18974.63428497314,17078.76315355301
