mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,0.017642974853515625,3.5619735717773438,4.283308982849121
mig,0.6,5.590677261352539,1.3308525085449219,1.6537904739379883
mps-uncap,0.7,0.017881393432617188,8.573055267333984,8.036136627197266
mig,0.7,10.534286499023438,2.5720596313476562,2.763986587524414
mps-uncap,0.8,0.017642974853515625,43.16389560699463,43.11251640319824
mig,0.8,17.3032283782959,5.142450332641602,5.146145820617676
mps-uncap,0.9,0.018596649169921875,3998.265504837036,5444.602251052856
mig,0.9,44.88039016723633,10.296940803527832,10.388612747192383
mps-uncap,1.0,0.04649162292480469,10774.454474449158,9042.234539985657
mig,1.0,390.15984535217285,25.344133377075195,294.73257064819336
mps-uncap,1.1,1.7614364624023438,13552.225947380066,13344.861030578613
mig,1.1,3341.7853116989136,3055.2233457565308,2553.972005844116
mps-uncap,1.2,3.1616687774658203,17779.635667800903,17219.103455543518
mig,1.2,6856.148481369019,6369.248390197754,6405.588150024414
mps-uncap,1.3,4.380464553833008,21239.054560661316,20293.98775100708
mig,1.3,9745.88394165039,9501.143455505371,8524.85454082489
