mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,6.529450416564941,4.224658012390137,4.245281219482422
mig,0.6,12.674331665039062,4.075050354003906,4.079341888427734
mps-uncap,0.7,6.529092788696289,4.172086715698242,4.230976104736328
mig,0.7,12.715578079223633,4.107475280761719,4.089593887329102
mps-uncap,0.8,6.574392318725586,4.293918609619141,4.148960113525391
mig,0.8,12.696504592895508,4.114389419555664,4.092931747436523
mps-uncap,0.9,6.606578826904297,4.186868667602539,4.217624664306641
mig,0.9,12.659549713134766,4.132509231567383,4.060029983520508
mps-uncap,1.0,6.610512733459473,4.237651824951172,4.215478897094727
mig,1.0,12.648820877075195,4.057407379150391,4.220485687255859
mps-uncap,1.1,6.661653518676758,4.2046308517456055,4.326105117797852
mig,1.1,12.661933898925781,4.076242446899414,4.051446914672852
mps-uncap,1.2,6.694316864013672,4.836797714233398,5.958318710327148
mig,1.2,12.664318084716797,4.127025604248047,4.105091094970703
mps-uncap,1.3,6.720304489135742,6.753802299499512,6.539702415466309
mig,1.3,12.666463851928711,4.119873046875,4.038095474243164
