mode,load,0_vgg11-16,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8
mps-uncap,0.6,10.38339853286743,8.05199146270752,9.381294250488278
mig,0.6,16.10689640045166,5.403280258178711,5.25254487991333
mps-uncap,0.7,10.257921218872072,9.45096015930176,7.868037223815917
mig,0.7,16.172072887420658,4.863810539245605,4.903502464294433
mps-uncap,0.8,10.076761245727539,7.703027725219726,9.420454502105724
mig,0.8,15.918462276458738,4.696931838989258,4.665806293487549
mps-uncap,0.9,9.588532447814938,7.570466995239257,9.461636543273922
mig,0.9,15.332355499267578,4.559714794158934,4.491944313049316
mps-uncap,1.0,9.11290645599365,9.61493730545044,7.566213607788086
mig,1.0,15.112390518188471,4.382841587066651,4.520950317382812
mps-uncap,1.1,8.332195281982425,9.78796720504761,7.620067596435551
mig,1.1,14.746804237365726,4.345021247863769,4.321098327636719
mps-uncap,1.2,8.124160766601562,9.890518188476564,7.698454856872556
mig,1.2,14.864845275878906,4.358053207397459,4.341340065002441
mps-uncap,1.3,8.641614913940435,9.989318847656252,7.846648693084716
mig,1.3,15.388107299804688,4.471769332885742,4.395444393157959
