mode,load,0_resnet152-16,1_squeezenet1_1-2,2_vgg16-2
mps-uncap,0.6,0.029087066650390625,1.7557144165039062,0.017642974853515625
mig,0.6,10.66899299621582,0.7958412170410156,2.8057098388671875
mps-uncap,0.7,0.02765655517578125,4.23586368560791,0.017642974853515625
mig,0.7,25.807499885559082,1.4208555221557617,4.945039749145508
mps-uncap,0.8,4.727959632873535,29.29067611694336,0.017642974853515625
mig,0.8,49.2253303527832,2.4034976959228516,8.883237838745117
mps-uncap,0.9,11.390328407287598,6239.509701728821,0.018596649169921875
mig,0.9,106.81605339050293,5.597352981567383,22.412538528442383
mps-uncap,1.0,16.509175300598145,12586.233377456665,0.5830526351928711
mig,1.0,482.8592538833618,216.30442142486572,238.34729194641113
mps-uncap,1.1,40.061354637145996,17756.181240081787,1.9211769104003906
mig,1.1,3250.972867012024,4487.282752990723,4311.529278755188
mps-uncap,1.2,164.6862030029297,22416.860103607178,3.2968521118164062
mig,1.2,5758.862495422363,7848.215818405151,7142.525911331177
mps-uncap,1.3,2346.974730491638,25228.63268852234,5.2280426025390625
mig,1.3,11670.892477035522,10048.547506332397,10587.442517280579
