mode,load,0_resnet152-16,1_squeezenet1_1-2,2_vgg16-2
mps-uncap,0.6,33.31613540649414,19.69599723815918,16.246795654296875
mig,0.6,33.28561782836914,15.338897705078125,8.057832717895508
mps-uncap,0.7,28.66506576538086,13.374567031860352,16.862869262695312
mig,0.7,43.14851760864258,11.726856231689453,7.9669952392578125
mps-uncap,0.8,28.675079345703125,17.18616485595703,10.54525375366211
mig,0.8,33.62083435058594,14.274120330810547,15.739202499389648
mps-uncap,0.9,28.825759887695312,16.59083366394043,17.250537872314453
mig,0.9,44.52681541442871,13.36526870727539,16.887187957763672
mps-uncap,1.0,38.67840766906738,18.063068389892578,18.311262130737305
mig,1.0,45.4258918762207,11.235713958740234,19.794940948486328
mps-uncap,1.1,30.405282974243164,22.300243377685547,14.712095260620117
mig,1.1,41.77093505859375,9.46044921875,18.515586853027344
mps-uncap,1.2,36.56482696533203,20.60866355895996,12.590408325195312
mig,1.2,44.888973236083984,14.715194702148438,18.78643035888672
mps-uncap,1.3,36.57364845275879,22.53866195678711,13.282060623168945
mig,1.3,42.86003112792969,17.686128616333008,17.084121704101562
