mode,load,0_resnet152-16,1_squeezenet1_1-2,2_vgg16-2
mps-uncap,0.6,21.40021324157715,8.602619171142578,2.591991424560547
mig,0.6,59.46304798126219,3.858089447021486,15.137338638305664
mps-uncap,0.7,25.03132820129395,18.624377250671387,3.4133195877075195
mig,0.7,96.4300870895386,5.519795417785645,20.93033790588379
mps-uncap,0.8,42.16482639312744,100.40855407714844,4.121255874633789
mig,0.8,208.25481414794922,10.320663452148438,33.51242542266846
mps-uncap,0.9,59.14125442504885,11597.571229934692,5.403757095336916
mig,0.9,371.77765369415283,23.385143280029297,82.17163085937509
mps-uncap,1.0,75.06084442138675,22295.96221446991,6.960034370422365
mig,1.0,992.8433895111084,537.0131015777587,452.0093679428102
mps-uncap,1.1,159.9666595458984,32160.794496536262,10.471773147583008
mig,1.1,6375.977873802185,8287.411451339722,8236.720609664917
mps-uncap,1.2,428.2681465148926,40201.743602752686,13.83218765258789
mig,1.2,13747.72243499756,14286.03219985962,13565.625190734863
mps-uncap,1.3,4227.782607078552,45809.09371376037,20.00937461853028
mig,1.3,20221.125173568726,18349.8779296875,19070.519828796387
