mode,load,0_densenet121-8,1_inception_v3-16,2_resnet50-16
mps-uncap,0.8,6.991147994995117,6.476879119873047,6.434202194213867
mps-uncap,0.9,6.927013397216797,6.466388702392578,6.40869140625
mps-uncap,1.0,7.314443588256836,6.699085235595703,6.413698196411133
mps-uncap,0.5,6.819248199462891,6.426572799682617,6.421804428100586
mps-uncap,0.6,7.010221481323242,6.426095962524414,6.395816802978516
mps-uncap,0.7,7.021903991699219,6.438970565795898,6.422519683837891
mps-uncap,0.1,7.446527481079102,6.440401077270508,6.418704986572266
mps-uncap,0.2,7.013559341430664,6.459951400756836,6.3953399658203125
mps-uncap,0.3,7.075786590576172,6.4544677734375,6.403923034667969
mps-uncap,0.4,6.950139999389648,6.436347961425781,6.398677825927734
