mode,load,0_densenet121-8,1_inception_v3-16,2_resnet50-16
mps-uncap,0.8,18.30267906188965,16.8229341506958,13.449549674987793
mps-uncap,0.9,21.554946899414062,26.28040313720703,23.801803588867188
mps-uncap,1.0,54.59928512573242,130.54132461547852,145.3162431716919
mps-uncap,0.5,13.827800750732422,12.533068656921387,8.343815803527832
mps-uncap,0.6,14.103531837463379,12.725472450256348,8.866190910339355
mps-uncap,0.7,14.728784561157227,13.88096809387207,10.500669479370117
mps-uncap,0.1,16.994237899780273,12.091875076293945,6.76274299621582
mps-uncap,0.2,17.017722129821777,12.331247329711914,6.957769393920898
mps-uncap,0.3,16.895294189453125,12.745499610900879,7.384538650512695
mps-uncap,0.4,15.096068382263184,12.789011001586914,7.781505584716797
