mode,load,0_efficientnet_b6-4,1_resnet101-4,2_squeezenet1_0-2
mps-uncap,0.6,111.01055145263666,27.30666160583496,10.862441062927227
mig,0.6,96.19686365127562,48.98543596267698,7.845342159271244
mps-uncap,0.7,160.38474321365362,38.561925888061616,17.52409934997556
mig,0.7,97.02692985534668,71.09994888305678,9.955639839172386
mps-uncap,0.8,365.18700122833263,71.3767337799072,57.90810585021976
mig,0.8,148.3749628067016,110.67697763442992,23.541755676269528
mps-uncap,0.9,503.23961257934536,88.77302885055539,323.62956047058117
mig,0.9,338.7117576599121,319.89019870758057,32.83259630203243
mps-uncap,1.0,5873.771789073944,108.4513854980468,11012.721514701843
mig,1.0,2724.0948390960693,1721.6109752655036,1516.314969062805
mps-uncap,1.1,11985.166728496552,211.77638530731193,15674.016976356508
mig,1.1,6940.217399597168,6773.790040016174,5518.968982696533
mps-uncap,1.2,19009.118230342865,807.1079349517821,21937.81827688217
mig,1.2,12222.678151130676,15301.348106861115,14686.115055084229
mps-uncap,1.3,24673.462758064266,9467.183499336243,26342.906856536865
mig,1.3,20267.800555229187,18442.155544757843,18882.69268512726
