mode,load,0_efficientnet_b6-4,1_resnet101-4,2_squeezenet1_0-2
mps-uncap,0.6,132.43465154266877,207.47070014061944,662.3988109542835
mig,0.6,131.33946281334505,211.54064704447637,649.7883697028338
mps-uncap,0.7,156.9732789088281,243.56428536343998,768.2411503512267
mig,0.7,160.57407226004466,251.77237340361765,749.88785631387
mps-uncap,0.8,180.58618429889216,286.8940980911954,877.9638432951756
mig,0.8,176.51333890976505,278.90028703869325,865.5426609003098
mps-uncap,0.9,201.81032966211967,320.0139938435113,957.3248238887734
mig,0.9,204.1911205513421,316.6756578402996,965.1724738257162
mps-uncap,1.0,214.61142693371747,356.882828395787,951.0721820932571
mig,1.0,223.83011117498188,352.27924904232924,1076.257886203193
mps-uncap,1.1,214.873376614991,392.4198004810142,993.6433164767751
mig,1.1,225.6401603881616,356.0535859803301,1099.555578071391
mps-uncap,1.2,214.80274244076298,422.56829835206497,970.0901851228598
mig,1.2,229.3216656258362,357.0905531282247,1086.0570619121577
mps-uncap,1.3,217.29027256633447,417.16766819761983,979.6807805450579
mig,1.3,228.57939268807266,357.27278813695864,1091.0067084778416
