mode,load,0_vgg16-32,1_resnet18-32,2_squeezenet1_0-2
mps-uncap,1.0,25.666356086730957,25.638175010681152,22.511601448059082
mig,1.0,43.77415180206299,15.788292884826658,1.7724037170410156
