mode,load,0_vgg16-32,1_resnet18-32,2_squeezenet1_0-2
mps-uncap,1.0,1271.0894120920823,1271.6207018410714,164.24374385160223
mig,1.0,742.3595823295224,2096.486843916446,1137.7274586596714
