mode,load,0_vgg16-32,1_resnet18-32,2_squeezenet1_0-2
mps-uncap,1.0,22.615432739257812,9.168863296508789,1.764059066772461
mig,1.0,41.971683502197266,14.387845993041992,1.7178058624267578
